,date,memo,amount,category
0,2016-11-07 00:00:00,BT GROUP PLC ,-43.99,
1,2016-11-04 00:00:00,Non-Sterling Transaction Fee,-1.27,
2,2016-11-04 00:00:00,INT'L 0069152917 Amazon web service aws.amazon.co USD 57.13 @ 1.2293 Visa Rate,-46.47,
3,2016-11-04 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,
4,2016-11-04 00:00:00,SAINSBURYS S/MKTS WARREN STREET,-2.75,food
5,2016-11-03 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,travel
6,2016-11-03 00:00:00,"EASYJET     000ERC LUTON, BEDS",-143.96,
7,2016-11-03 00:00:00,TESCO STORES 6109 GREENFORD,-48.43,
8,2016-11-03 00:00:00,EE  &  T-MOBILE ,-21.34,other
9,2016-11-02 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-4.8,
10,2016-11-01 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,
11,2016-10-31 00:00:00,TESCO STORES 5244 KILBURN,-8.72,
12,2016-10-31 00:00:00,MOMENT LONDON,-3.95,
13,2016-10-31 00:00:00,LONDIS LONDON  NW8,-9.25,
14,2016-10-31 00:00:00,LYTTLETON ARMS LONDON  NW1 4,-15.8,
15,2016-10-31 00:00:00,PRET A MANGER LONDON,-5.39,
16,2016-10-28 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-4.8,
17,2016-10-27 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-6.5,
18,2016-10-26 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-4.8,
19,2016-10-26 00:00:00,TESCO STORES 6109 GREENFORD,-44.53,
20,2016-10-26 00:00:00,CASH RB SCOT OCT26 TESCO MORE L@08:19,-70.0,
21,2016-10-25 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,
22,2016-10-25 00:00:00,WH SMITH LONDON,-1.39,
23,2016-10-25 00:00:00,NEW SOUTHERN RAILW HORLEY 9132,-13.0,
24,2016-10-25 00:00:00,AIRBNB 14158005959,-335.0,
25,2016-10-24 00:00:00,JAMIES ITALIAN GATWICK,-5.9,
26,2016-10-24 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-1.5,
27,2016-10-24 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-7.2,
28,2016-10-24 00:00:00,COMEDY LONDON,-7.95,
29,2016-10-24 00:00:00,BUSABA LEICESTER S LONDON,-15.0,
30,2016-10-24 00:00:00,NEW SOUTHERN RAILW LND SW1V 5973,-10.25,
31,2016-10-21 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-6.5,
32,2016-10-21 00:00:00,SARDO COFFEE SHOP LONDON  W1T,-6.5,
33,2016-10-20 00:00:00,INT'L 0092766987 Amazon UK Retail AMAZON.CO.UK,-17.22,
34,2016-10-20 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-4.8,
35,2016-10-20 00:00:00,TESCO STORES 3479 ST JOHNS WOOD,-3.52,
36,2016-10-20 00:00:00,SICILIANA LONDON,-18.0,
37,2016-10-19 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,
38,2016-10-19 00:00:00,TESCO STORES 2722 EUSTON,-1.47,
39,2016-10-18 00:00:00,TFL.GOV.UK/CP TFL TRAVEL CH,-2.4,
40,2016-10-18 00:00:00,TASKRABBIT 2PHQ8 T 02086109298,-19.04,
41,2016-10-18 00:00:00,RELISH ,-20.0,
